chrom scaffold Cposition position mean p0025 p0500 p0975
Herato10 Herato1001 25001.0 25000.0 0.02581592175 0.022257570248 0.025846787862 0.030372823542
Herato10 Herato1001 75001.0 75000.0 0.0055930305056 0.0046254958674 0.005508680961 0.0072155780364
Herato10 Herato1001 125001.0 125000.0 0.0171043293522 0.0132666856466 0.016878530878 0.021939586796
Herato10 Herato1001 175001.0 175000.0 0.005518776692 0.005001545874 0.005554867162 0.005916562886
Herato10 Herato1001 225001.0 225000.0 0.0712382495201 0.0426558823367 0.0676948055202 0.118417577008
Herato10 Herato1001 275001.0 275000.0 0.0102515616192 0.00917241919735 0.01020781173 0.0115045173904
Herato10 Herato1001 325001.0 325000.0 0.0221581901897 0.0113138225261 0.0188786258249 0.0474382923378
Herato10 Herato1001 375001.0 375000.0 0.015234907338 0.00914577355833 0.0147245861475 0.0246711047092
Herato10 Herato1001 425001.0 425000.0 0.00938815601508 0.00801581062265 0.00931634166574 0.0108485891374
Herato10 Herato1001 475001.0 475000.0 0.005797385718 0.0047140431202 0.005755587268 0.007205548204
Herato10 Herato1001 525001.0 525000.0 0.00582301883212 0.00543730460465 0.00582471271756 0.00631344724412
Herato10 Herato1001 575001.0 575000.0 0.0417764583124 0.00609268975976 0.0370856652137 0.120654664957
Herato10 Herato1001 625001.0 625000.0 0.022166223111 0.0120026224438 0.0216922133996 0.0357111991702
Herato10 Herato1001 675001.0 675000.0 0.0125669406966 0.0100692081574 0.0123824473753 0.0162041364576
Herato10 Herato1001 725001.0 725000.0 0.0115570486526 0.00920619044352 0.0114508219638 0.0145253705498
Herato10 Herato1001 775001.0 775000.0 0.0394780204662 0.0180115499261 0.035610850908 0.0838828227342
Herato10 Herato1001 825001.0 825000.0 0.0257200965811 0.0132471626892 0.0245436647718 0.0495233808742
Herato10 Herato1001 875001.0 875000.0 0.0260918786112 0.0173141061536 0.026043539746 0.0379021409932
Herato10 Herato1001 925001.0 925000.0 0.0169204613697 0.00777019367677 0.0162375558727 0.0334218059665
Herato10 Herato1001 975001.0 975000.0 0.0193525058854 0.0119595372849 0.0188015545681 0.0284266380152
Herato10 Herato1001 1025001.0 1025000.0 0.0349362300882 0.0124846953941 0.0331142619544 0.0731979644452
Herato10 Herato1001 1075001.0 1075000.0 0.0171745259842 0.0122025227393 0.0164886007082 0.0301204913324
Herato10 Herato1001 1125001.0 1125000.0 0.00927588690484 0.00810709195805 0.00925164579516 0.0107297783258
Herato10 Herato1001 1175001.0 1175000.0 0.0073326055706 0.0059653987265 0.0073236690254 0.0089174896192
Herato10 Herato1001 1225001.0 1225000.0 0.0118822869346 0.00993844952219 0.0118137506011 0.0146139367787
Herato10 Herato1001 1275001.0 1275000.0 0.0031584071011 0.00259678201013 0.00315431733388 0.00386394484322
Herato10 Herato1001 1325001.0 1325000.0 0.0100484281212 0.00759508522242 0.0100612077192 0.013403032784
Herato10 Herato1001 1375001.0 1375000.0 0.0094701913016 0.00605702674564 0.0096632285514 0.013618809091
Herato10 Herato1001 1425001.0 1425000.0 0.0405049066521 0.027284166592 0.0390893860994 0.0607127513615
Herato10 Herato1001 1475001.0 1475000.0 0.0196571690572 0.00918786080859 0.019317461258 0.0387907589876
Herato10 Herato1001 1525001.0 1525000.0 0.0481064053143 0.0189811034776 0.0436788572837 0.102430291119
Herato10 Herato1001 1575001.0 1575000.0 0.00800801229286 0.0070459320236 0.00800934785156 0.00906056906354
Herato10 Herato1001 1625001.0 1625000.0 0.0092263809078 0.00827142410689 0.0092268053308 0.0103555486616
Herato10 Herato1001 1675001.0 1675000.0 0.015574836752 0.0139821172225 0.0155556815624 0.017540950182
Herato10 Herato1001 1725001.0 1725000.0 0.018414295376 0.013870916152 0.018190578162 0.023384148322
Herato10 Herato1001 1775001.0 1775000.0 0.012082790876 0.0079643464 0.01186781082 0.017703526088
Herato10 Herato1001 1825001.0 1825000.0 0.0217009689959 0.0104652918631 0.0172148200766 0.0553211630783
Herato10 Herato1001 1875001.0 1875000.0 0.006817366006 0.00561648844 0.006755775024 0.00830017272
Herato10 Herato1001 1925001.0 1925000.0 0.0225476467604 0.0159662384691 0.0221180390737 0.031608816598
Herato10 Herato1001 1975001.0 1975000.0 0.0673560085794 0.0322761504122 0.061287540432 0.145181162458
Herato10 Herato1001 2025001.0 2025000.0 0.0204184110457 0.0173262345949 0.0203950001481 0.0240729633884
Herato10 Herato1001 2075001.0 2075000.0 0.0285293664084 0.0193358181384 0.0284823796038 0.0376012319396
Herato10 Herato1001 2125001.0 2125000.0 0.0198878440834 0.0169203646719 0.0197647847107 0.0233766851794
Herato10 Herato1001 2175001.0 2175000.0 0.0490369540153 0.0206183369029 0.0483518250573 0.0834624709234
Herato10 Herato1001 2225001.0 2225000.0 0.012284950628 0.00917299638203 0.0119024131267 0.0175612498417
Herato10 Herato1001 2275001.0 2275000.0 0.0582357910363 0.0325275892153 0.0530663428312 0.108991068862
Herato10 Herato1001 2325001.0 2325000.0 0.074894546656 0.0329418165657 0.0673463246761 0.164470249299
