chrom scaffold Cposition position mean p0025 p0500 p0975
Herato14 Herato1401 25001.0 25000.0 0.0194853844004 0.0166500136914 0.0194327491718 0.0222030912376
Herato14 Herato1401 75001.0 75000.0 0.0515494037008 0.0451583856724 0.0513519380012 0.059170543994
Herato14 Herato1401 125001.0 125000.0 0.046883324634 0.042509417562 0.046576014216 0.051257273872
Herato14 Herato1401 175001.0 175000.0 0.034083341948 0.0309807756712 0.0342649570002 0.03621738946
Herato14 Herato1401 225001.0 225000.0 0.062715702474 0.04795318918 0.06046659425 0.087757764912
Herato14 Herato1401 252980.5 275000.0 0.0107130545394 0.00909134955529 0.010378995469 0.0133745415338
Herato14 Herato1402 264682.0 25000.0 0.0401003949088 0.0286633871721 0.0370537284715 0.0602588733517
Herato14 Herato1403 298404.0 25000.0 0.09243478527 0.084342245538 0.092574863092 0.10097154361
Herato14 Herato1403 330224.5 75000.0 0.0714936593212 0.066199417638 0.0713788808005 0.0798876486475
Herato14 Herato1404 350541.0 25000.0 0.0727734736273 0.0659208910152 0.0730932945239 0.0791079811263
Herato14 Herato1405 387313.5 25000.0 0.0607643541125 0.0573973690203 0.0605393691706 0.0653344978412
Herato14 Herato1406 429864.0 25000.0 0.0597277673689 0.0501874987028 0.058570954911 0.0727457023816
Herato14 Herato1407 474138.0 25000.0 0.0857820871246 0.0792621065626 0.085059354733 0.0984366300816
Herato14 Herato1407 503393.0 75000.0 0.00692213475911 0.00521989059929 0.00685044143361 0.00902759172738
Herato14 Herato1408 532649.0 25000.0 0.07365731174 0.0497639069286 0.0718765168808 0.103273588452
Herato14 Herato1408 582649.0 75000.0 0.04097098626 0.0346859508102 0.0409198979507 0.0481198438658
Herato14 Herato1408 632649.0 125000.0 0.0767415297417 0.00994151851716 0.075184446502 0.183208169853
Herato14 Herato1408 682649.0 175000.0 0.051473154802 0.043133939138 0.050224806826 0.06216262503
Herato14 Herato1408 732649.0 225000.0 0.03314244998 0.03137108968 0.03343813652 0.0343233332
Herato14 Herato1408 782649.0 275000.0 0.049828540456 0.0466177900196 0.049898378588 0.053045038982
Herato14 Herato1408 832649.0 325000.0 0.06736638898 0.06377477688 0.06759353944 0.07055717478
Herato14 Herato1408 882649.0 375000.0 0.056921941536 0.049262971014 0.057240008682 0.061710428434
Herato14 Herato1408 932649.0 425000.0 0.103882448996 0.0962332773084 0.10380767853 0.112172562928
Herato14 Herato1408 982649.0 475000.0 0.09601747072 0.076689025566 0.09248141222 0.13070436378
Herato14 Herato1408 1032649.0 525000.0 0.07928256312 0.07622178732 0.0792092463 0.08274719732
Herato14 Herato1408 1082649.0 575000.0 0.07008474832 0.06535291304 0.07008394742 0.07348413482
Herato14 Herato1408 1132649.0 625000.0 0.10039463908 0.09373793088 0.0999932922 0.1078753505
Herato14 Herato1408 1182649.0 675000.0 0.13433796124 0.12754707462 0.13461841316 0.13974368702
Herato14 Herato1408 1232649.0 725000.0 0.1277616292 0.1200877904 0.1277389948 0.1349972926
Herato14 Herato1408 1282649.0 775000.0 0.1045771328 0.097843476 0.1043609568 0.1102035586
Herato14 Herato1408 1332649.0 825000.0 0.098265686686 0.092561515224 0.098094387122 0.102554936388
Herato14 Herato1408 1382649.0 875000.0 0.07869047606 0.0734312399 0.07843092814 0.08656085292
Herato14 Herato1408 1432649.0 925000.0 0.0671664008905 0.0635438082879 0.0669708601217 0.0705901255416
Herato14 Herato1408 1482649.0 975000.0 0.08296132152 0.08096482512 0.08262430704 0.08628921216
Herato14 Herato1408 1532649.0 1025000.0 0.10160347888 0.09843921076 0.10103998088 0.10626315852
Herato14 Herato1408 1582649.0 1075000.0 0.07563058416 0.07422519132 0.07547019696 0.07754921604
Herato14 Herato1408 1632649.0 1125000.0 0.0628052392 0.06084535728 0.06283583406 0.06503886866
Herato14 Herato1408 1682649.0 1175000.0 0.05256711939 0.050192179244 0.052586484016 0.05519020724
Herato14 Herato1408 1732649.0 1225000.0 0.046924987316 0.037383274996 0.046105931392 0.06147548502
Herato14 Herato1408 1782649.0 1275000.0 0.057595532022 0.051137008338 0.057711466976 0.064857061434
Herato14 Herato1408 1832649.0 1325000.0 0.072422729372 0.065184609268 0.072304027392 0.081370232384
Herato14 Herato1408 1882649.0 1375000.0 0.06180164368 0.06018793126 0.06175981056 0.06422777572
Herato14 Herato1408 1932649.0 1425000.0 0.08391508108 0.07047415186 0.0839456544 0.09800478402
