chrom scaffold Cposition position mean p0025 p0500 p0975
Herato09 Herato0901 25001.0 25000.0 0.143100577858 0.115984450957 0.14200045131 0.184179360072
Herato09 Herato0901 75001.0 75000.0 0.17468395195 0.110651892512 0.165768419196 0.287786595024
Herato09 Herato0901 125001.0 125000.0 0.11289384306 0.10064495402 0.1126894462 0.12513163894
Herato09 Herato0901 175001.0 175000.0 0.18682622518 0.176394951096 0.185673467434 0.20287131727
Herato09 Herato0901 225001.0 225000.0 0.227873242798 0.187645793423 0.226289778142 0.273013462908
Herato09 Herato0901 275001.0 275000.0 0.130593765519 0.113192819716 0.12975411943 0.151882953907
Herato09 Herato0901 325001.0 325000.0 0.217667963944 0.208091073055 0.217542831382 0.231095003136
Herato09 Herato0901 375001.0 375000.0 0.20762037164 0.19338412278 0.20740490952 0.22547851376
Herato09 Herato0901 425001.0 425000.0 0.286201577244 0.266662129692 0.283815431932 0.32352542484
Herato09 Herato0901 475001.0 475000.0 0.2699886314 0.2497896704 0.2707735948 0.2835686134
Herato09 Herato0901 525001.0 525000.0 0.229524549792 0.193670558667 0.227522553368 0.281622807726
Herato09 Herato0901 575001.0 575000.0 0.200342305609 0.178657108674 0.199778757397 0.227273724697
Herato09 Herato0901 625001.0 625000.0 0.249399398356 0.230949367533 0.250229664608 0.267115541486
Herato09 Herato0901 675001.0 675000.0 0.2243674112 0.21212616177 0.22484787566 0.23727170756
Herato09 Herato0901 725001.0 725000.0 0.144426885626 0.133923277774 0.144598973716 0.155170936248
Herato09 Herato0901 775001.0 775000.0 0.18068869768 0.16810053612 0.18057318226 0.1933412155
Herato09 Herato0901 825001.0 825000.0 0.281900721915 0.263629557149 0.281325111842 0.299499656461
Herato09 Herato0901 875001.0 875000.0 0.3399634712 0.3220739918 0.3406284156 0.3532615838
Herato09 Herato0901 925001.0 925000.0 0.30448504 0.28177405756 0.303760442812 0.32954925874
Herato09 Herato0901 975001.0 975000.0 0.26737751717 0.24543947848 0.266147741302 0.293572121504
Herato09 Herato0901 1025001.0 1025000.0 0.244827959184 0.22059548932 0.24440063966 0.271273923776
Herato09 Herato0901 1075001.0 1075000.0 0.21646465841 0.20144705828 0.216136834984 0.23162837741
Herato09 Herato0901 1125001.0 1125000.0 0.122512493088 0.111956301138 0.122218397466 0.13298800572
Herato09 Herato0901 1175001.0 1175000.0 0.18949341996 0.17246855386 0.18933407696 0.20452155962
Herato09 Herato0901 1225001.0 1225000.0 0.163217212202 0.144689960254 0.164356456979 0.184070041696
Herato09 Herato0901 1275001.0 1275000.0 0.228996916384 0.181406180403 0.22598214035 0.299293813016
Herato09 Herato0901 1325001.0 1325000.0 0.211853649188 0.198264595196 0.211694011492 0.226308370004
Herato09 Herato0901 1375001.0 1375000.0 0.117580754204 0.098041456049 0.1166146176 0.1419565493
Herato09 Herato0901 1425001.0 1425000.0 0.200110072606 0.18309052538 0.199269926552 0.217800119642
Herato09 Herato0901 1475001.0 1475000.0 0.1639068778 0.15564730288 0.1630963278 0.1729816206
Herato09 Herato0901 1525001.0 1525000.0 0.252227892946 0.220027631464 0.250857822776 0.286188826588
