chrom scaffold Cposition position mean p0025 p0500 p0975
Herato07 Herato0701 25001.0 25000.0 0.115918000507 0.0559727402254 0.113767037196 0.180392978316
Herato07 Herato0701 75001.0 75000.0 0.24042087328 0.0507865382979 0.229661452681 0.493803668596
Herato07 Herato0701 125001.0 125000.0 0.0872046124862 0.0393157094199 0.0826052451117 0.159246106811
Herato07 Herato0701 175001.0 175000.0 0.116176817752 0.0583633446799 0.107788937174 0.217179586376
Herato07 Herato0701 225001.0 225000.0 0.00851795919636 0.00625334349047 0.00838786934118 0.011099339345
Herato07 Herato0701 275001.0 275000.0 0.0220889677675 0.00891606131567 0.0198255295896 0.0503998508398
Herato07 Herato0701 325001.0 325000.0 0.0234381438491 0.0102814307439 0.0215922088684 0.0465874187651
Herato07 Herato0701 375001.0 375000.0 0.0308736630906 0.01402043357 0.0273937341623 0.0661021348008
Herato07 Herato0701 425001.0 425000.0 0.0216012142144 0.00629328041359 0.016155375615 0.0653188072541
Herato07 Herato0701 475001.0 475000.0 5.220956448e-05 4.691295648e-05 5.085443232e-05 6.065915328e-05
Herato07 Herato0701 525001.0 525000.0 0.0169801340542 0.00789713269672 0.016279749408 0.0322884421922
Herato07 Herato0701 575001.0 575000.0 0.00129156393176 0.000916535845543 0.0012523176205 0.00181417095458
Herato07 Herato0701 625001.0 625000.0 0.00964636096054 0.00674992304199 0.00941104970509 0.0142201907861
Herato07 Herato0701 675001.0 675000.0 0.134132512521 0.0580228257259 0.118030447487 0.323346082759
Herato07 Herato0701 725001.0 725000.0 0.0664453323771 0.0315229072117 0.0610765080524 0.132523104384
Herato07 Herato0701 775001.0 775000.0 0.0687209122596 0.0336473100317 0.0646867571666 0.129188912114
Herato07 Herato0701 825001.0 825000.0 0.0908527228248 0.0448254616659 0.0858701923048 0.160935309437
Herato07 Herato0701 875001.0 875000.0 0.0308929016661 0.016175338564 0.0286756683126 0.0561231649004
Herato07 Herato0701 925001.0 925000.0 0.0379833711342 0.0243964482542 0.0364786399847 0.0623926598757
Herato07 Herato0701 975001.0 975000.0 0.0324702303962 0.0133315693029 0.0292424370123 0.077177328946
Herato07 Herato0701 1025001.0 1025000.0 0.117918520621 0.0399614035306 0.112297380326 0.242922713228
Herato07 Herato0701 1075001.0 1075000.0 0.0286362154374 0.0149904908286 0.0280521312498 0.0445286182892
Herato07 Herato0701 1125001.0 1125000.0 0.00862754870244 0.00736742603213 0.00857584805844 0.0103812041924
Herato07 Herato0701 1175001.0 1175000.0 0.0231997848537 0.0164280787555 0.0230437666133 0.0323726484195
Herato07 Herato0701 1225001.0 1225000.0 0.0229519600374 0.018685532917 0.0226436208479 0.0294034820891
Herato07 Herato0701 1275001.0 1275000.0 0.0236611186338 0.0161210867417 0.0234793105254 0.0316703105336
Herato07 Herato0701 1325001.0 1325000.0 0.038036682609 0.0172984957742 0.0334776822812 0.0849574692968
Herato07 Herato0701 1375001.0 1375000.0 0.0074034458232 0.0065236419242 0.007377747191 0.0084216581814
