scaffold	chromosome	length	scafStart	scafEnd
Herato0101	1	22325789	1	22325789
Herato0201	2	28654	1	28654
Herato0202	2	186807	28654	215461
Herato0203	2	385930	215461	601391
Herato0204	2	1591071	601391	2192462
Herato0205	2	90126	2192462	2282588
Herato0206	2	1116228	2282588	3398816
Herato0207	2	15462	3398816	3414278
Herato0208	2	596049	3414278	4010327
Herato0209	2	1164664	4010327	5174991
Herato0210	2	227809	5174991	5402800
Herato0211	2	3116133	5402800	8518933
Herato0212	2	127919	8518933	8646852
Herato0213	2	135543	8646852	8782395
Herato0214	2	1091976	8782395	9874371
Herato0215	2	3762258	9874371	13636629
Herato0301	3	5009899	1	5009899
Herato0302	3	76491	5009899	5086390
Herato0303	3	193265	5086390	5279655
Herato0304	3	107553	5279655	5387208
Herato0305	3	62059	5387208	5449267
Herato0306	3	24521	5449267	5473788
Herato0307	3	156363	5473788	5630151
Herato0308	3	142210	5630151	5772361
Herato0309	3	180693	5772361	5953054
Herato0310	3	10688973	5953054	16642027
Herato0401	4	2685149	1	2685149
Herato0402	4	101940	2685149	2787089
Herato0403	4	1088376	2787089	3875465
Herato0404	4	123495	3875465	3998960
Herato0405	4	1726360	3998960	5725320
Herato0406	4	115991	5725320	5841311
Herato0407	4	34079	5841311	5875390
Herato0408	4	55175	5875390	5930565
Herato0409	4	32328	5930565	5962893
Herato0410	4	43087	5962893	6005980
Herato0411	4	6458167	6005980	12464147
Herato0412	4	298940	12464147	12763087
Herato0413	4	264141	12763087	13027228
Herato0414	4	23323	13027228	13050551
Herato0415	4	56595	13050551	13107146
Herato0416	4	38062	13107146	13145208
Herato0417	4	158794	13145208	13304002
Herato0418	4	81409	13304002	13385411
Herato0419	4	2335710	13385411	15721121
Herato0501	5	1264872	1	1264872
Herato0502	5	233890	1264872	1498762
Herato0503	5	8987400	1498762	10486162
Herato0504	5	38381	10486162	10524543
Herato0505	5	56482	10524543	10581025
Herato0506	5	34962	10581025	10615987
Herato0507	5	230503	10615987	10846490
Herato0508	5	2670069	10846490	13516559
Herato0509	5	304825	13516559	13821384
Herato0510	5	39246	13821384	13860630
Herato0511	5	129296	13860630	13989926
Herato0601	6	4583433	1	4583433
Herato0602	6	35217	4583433	4618650
Herato0603	6	21929	4618650	4640579
Herato0604	6	26984	4640579	4667563
Herato0605	6	157689	4667563	4825252
