chrom scaffold Cposition position mean p0025 p0500 p0975
Herato15 Herato1501 25001.0 25000.0 0.0555749433384 0.051171992917 0.0555734714204 0.0621336927188
Herato15 Herato1501 62748.0 75000.0 0.0389311177544 0.0299897079278 0.0389067627367 0.0456445215043
Herato15 Herato1502 100496.0 25000.0 0.0733466179406 0.0351491632264 0.0683713115083 0.139611288657
Herato15 Herato1502 150496.0 75000.0 0.0696103846408 0.058212887436 0.0668594456048 0.0926128541684
Herato15 Herato1502 200496.0 125000.0 0.01437671553 0.011474057226 0.014001357956 0.018368682552
Herato15 Herato1502 228767.5 175000.0 0.00464469530796 0.00415332569158 0.0045402433746 0.00520279535381
Herato15 Herato1503 241176.5 25000.0 0.0217529078695 0.0191930347398 0.0216762827013 0.0247040388551
Herato15 Herato1504 275314.0 25000.0 0.0207496766272 0.0177576487205 0.0204750588316 0.0255048649665
Herato15 Herato1504 322273.5 75000.0 0.0239945329652 0.0228022655457 0.0237057105057 0.0260295118195
Herato15 Herato1505 369234.0 25000.0 0.0522012565316 0.0277764733952 0.0428908837414 0.199806639462
Herato15 Herato1505 419234.0 75000.0 0.0720208063436 0.0443297627134 0.0688918610284 0.120201140345
Herato15 Herato1505 469234.0 125000.0 0.0260958033295 0.0234493361302 0.0259896006687 0.0292292450318
Herato15 Herato1505 519234.0 175000.0 0.0350780931514 0.0270481395346 0.032094224388 0.050664178106
Herato15 Herato1505 569234.0 225000.0 0.0676306062004 0.0622412710772 0.0674972470534 0.0730880114098
Herato15 Herato1505 619234.0 275000.0 0.0573104945726 0.0516139795094 0.0568007157172 0.063583585854
Herato15 Herato1505 669234.0 325000.0 0.068398078998 0.063265374712 0.068636961014 0.073992652712
Herato15 Herato1505 719234.0 375000.0 0.05217380321 0.04658691428 0.051847847544 0.059527677276
Herato15 Herato1505 769234.0 425000.0 0.038802136081 0.0269858744414 0.0385179106718 0.0550886367116
Herato15 Herato1505 819234.0 475000.0 0.0185523146086 0.0130640380774 0.0173296569666 0.02909236446
Herato15 Herato1505 869234.0 525000.0 0.073057047232 0.0573573847718 0.07144132024 0.09833936183
Herato15 Herato1505 919234.0 575000.0 0.0435865123804 0.038123691136 0.0436560720102 0.0497517642726
Herato15 Herato1505 969234.0 625000.0 0.060280715514 0.056401150758 0.06026213097 0.064589021468
Herato15 Herato1505 1019234.0 675000.0 0.061724747122 0.053111084414 0.061066969768 0.0732426785
Herato15 Herato1505 1069234.0 725000.0 0.0557621059744 0.0461714256303 0.0561064962838 0.0667065894124
Herato15 Herato1505 1119234.0 775000.0 0.049234431402 0.0404196247997 0.0503114244632 0.05757724315
Herato15 Herato1505 1169234.0 825000.0 0.0464218459727 0.0365349476432 0.0456949991459 0.0604776724158
Herato15 Herato1505 1219234.0 875000.0 0.033003780334 0.029345250056 0.033098367892 0.03630488806
Herato15 Herato1505 1269234.0 925000.0 0.04305344188 0.038194373394 0.04293596157 0.04875569219
Herato15 Herato1505 1319234.0 975000.0 0.041198790801 0.0367882752372 0.0409682844586 0.0455699711978
Herato15 Herato1505 1369234.0 1025000.0 0.05830445782 0.048728718672 0.058272420332 0.068031982958
Herato15 Herato1505 1419234.0 1075000.0 0.049175642474 0.042457695906 0.048870373058 0.057051268552
Herato15 Herato1505 1469234.0 1125000.0 0.0543826358968 0.0486043422544 0.0543309282676 0.0613334704
Herato15 Herato1505 1519234.0 1175000.0 0.039454912758 0.0370442406252 0.039346211487 0.04258314368
Herato15 Herato1505 1569234.0 1225000.0 0.049695922408 0.0456728919622 0.049759141088 0.05402606621
Herato15 Herato1505 1619234.0 1275000.0 0.073990182332 0.061319320756 0.073565743464 0.088594751504
Herato15 Herato1505 1669234.0 1325000.0 0.0609819705508 0.0561882102706 0.0608664042086 0.0665772598072
Herato15 Herato1505 1719234.0 1375000.0 0.063082345734 0.057274040912 0.063151670562 0.06945986301
Herato15 Herato1505 1769234.0 1425000.0 0.240214517532 0.0850403418708 0.213963362088 0.52329513012
Herato15 Herato1505 1819234.0 1475000.0 0.0593872205192 0.0518082103684 0.0593223041012 0.0664913886736
Herato15 Herato1505 1869234.0 1525000.0 0.0433856164625 0.0402764712922 0.043293942826 0.0471013233984
Herato15 Herato1505 1919234.0 1575000.0 0.031546692072 0.027625976326 0.031244683932 0.038340955064
Herato15 Herato1505 1969234.0 1625000.0 0.0136912761748 0.0129179973639 0.0135247295891 0.0150629866702
Herato15 Herato1505 2019234.0 1675000.0 0.0154564121896 0.0127804820292 0.01531177247 0.018743253736
Herato15 Herato1505 2069234.0 1725000.0 0.025901749632 0.023482315118 0.025819336188 0.028710586144
Herato15 Herato1505 2119234.0 1775000.0 0.0459789429786 0.0346648451588 0.0432288046658 0.0659044256978
Herato15 Herato1505 2169234.0 1825000.0 0.040303286906 0.0300004047656 0.038982641422 0.058486152646
Herato15 Herato1505 2219234.0 1875000.0 0.141722783044 0.0389483594339 0.123923357042 0.355613364117
Herato15 Herato1505 2269234.0 1925000.0 0.0465310888928 0.0343192629509 0.0456241553136 0.0644296273546
Herato15 Herato1505 2319234.0 1975000.0 0.03788021108 0.034199069234 0.037673858506 0.042924589218
Herato15 Herato1505 2369234.0 2025000.0 0.0494473757248 0.038886696856 0.0475063854168 0.068349067689
Herato15 Herato1505 2419234.0 2075000.0 0.015343100966 0.014253183098 0.015321401262 0.016364149184
Herato15 Herato1505 2469234.0 2125000.0 0.025885752512 0.0191027562972 0.024877284982 0.035449998394
Herato15 Herato1505 2519234.0 2175000.0 0.0758428328078 0.0515409704335 0.0733344295159 0.119846408384
Herato15 Herato1505 2569234.0 2225000.0 0.0629408110026 0.045458612577 0.0609099487701 0.0925216951788
Herato15 Herato1505 2619234.0 2275000.0 0.0520169240288 0.0372051692446 0.0522223522719 0.060687410422
Herato15 Herato1505 2669234.0 2325000.0 0.052984492269 0.0465810715522 0.0524319303866 0.062618021711
Herato15 Herato1505 2719234.0 2375000.0 0.0442851103448 0.0387354067848 0.0439050575444 0.0507925842792
Herato15 Herato1505 2769234.0 2425000.0 0.0369982035739 0.0215053644149 0.0358466146493 0.0574070672996
Herato15 Herato1505 2819234.0 2475000.0 0.0201177865197 0.0110551857779 0.0193763928632 0.0344290647281
Herato15 Herato1505 2869234.0 2525000.0 0.0348598764473 0.0114175301997 0.0268002466467 0.104574487682
Herato15 Herato1505 2919234.0 2575000.0 0.0943335511975 0.0248591133032 0.0868485300888 0.214042548499
Herato15 Herato1505 2969234.0 2625000.0 0.036754808804 0.0323995339066 0.03671102904 0.043051712674
Herato15 Herato1505 3019234.0 2675000.0 0.0473961350558 0.0437247946762 0.0474956619986 0.0513056303976
Herato15 Herato1505 3069234.0 2725000.0 0.0441921806725 0.0394902817897 0.0443182069767 0.0484041875114
Herato15 Herato1505 3119234.0 2775000.0 0.045739621324 0.0266001826544 0.0428190328338 0.081201532538
Herato15 Herato1505 3169234.0 2825000.0 0.07174216749 0.0672424476301 0.0716680301428 0.07690362476
Herato15 Herato1505 3219234.0 2875000.0 0.049207717898 0.042957322992 0.049036212008 0.056847469078
Herato15 Herato1505 3269234.0 2925000.0 0.06674355106 0.06238795968 0.06685389904 0.07033239726
Herato15 Herato1505 3319234.0 2975000.0 0.066395526932 0.061000800852 0.066409406132 0.07260192836
Herato15 Herato1505 3369234.0 3025000.0 0.044031642416 0.037558153852 0.043777634618 0.052626305688
Herato15 Herato1505 3419234.0 3075000.0 0.0466581667378 0.0385156287404 0.0466871487358 0.05734031593
Herato15 Herato1505 3469234.0 3125000.0 0.047373304976 0.044744927316 0.047113515682 0.051536210156
Herato15 Herato1505 3519234.0 3175000.0 0.074303659148 0.061134403238 0.073528004034 0.09254776153
Herato15 Herato1505 3569234.0 3225000.0 0.04465424529 0.031746507932 0.04521294214 0.057706413772
Herato15 Herato1505 3619234.0 3275000.0 0.0512575384812 0.0463687765571 0.0511371832174 0.0563524227822
Herato15 Herato1505 3669234.0 3325000.0 0.058881619334 0.05459158606 0.058968774862 0.063429551746
Herato15 Herato1505 3719234.0 3375000.0 0.0391401891458 0.0305425585282 0.0390680685474 0.0477743109996
Herato15 Herato1505 3769234.0 3425000.0 0.026086426714 0.0230437959398 0.0259973563804 0.0296148709402
Herato15 Herato1505 3819234.0 3475000.0 0.05523344666 0.045180088856 0.0551480318 0.06879291726
Herato15 Herato1505 3869234.0 3525000.0 0.0616570656768 0.0538208963976 0.0615726300544 0.07140098943
Herato15 Herato1505 3919234.0 3575000.0 0.0609307109376 0.0563912269442 0.0609347063774 0.06584186994
Herato15 Herato1505 3969234.0 3625000.0 0.0632147923834 0.0597566489727 0.0632034293568 0.0667270853606
Herato15 Herato1505 4019234.0 3675000.0 0.041840818297 0.0354155522976 0.0406209642296 0.051493040806
Herato15 Herato1505 4069234.0 3725000.0 0.0482644253008 0.0455781053774 0.0480199364048 0.052244701322
Herato15 Herato1505 4119234.0 3775000.0 0.05967874017 0.055356562354 0.059554918398 0.06399012034
Herato15 Herato1505 4169234.0 3825000.0 0.04984469918 0.04108157396 0.0500440101 0.05631547948
Herato15 Herato1505 4219234.0 3875000.0 0.05276147469 0.044136034082 0.052410699012 0.064079608886
