chrom scaffold Cposition position mean p0025 p0500 p0975
Herato02 Herato0201 14327.5 25000.0 0.0778207986947 0.0637738453914 0.0780864307402 0.0970897107109
Herato02 Herato0202 53655.0 25000.0 0.159499613152 0.141871205254 0.155364624101 0.179873173808
Herato02 Herato0202 103655.0 75000.0 0.13142197852 0.120512459197 0.131497259034 0.142261964614
Herato02 Herato0202 153655.0 125000.0 0.250075139514 0.228038982356 0.249688210874 0.27630503118
Herato02 Herato0202 197058.0 175000.0 0.202695642847 0.18595685827 0.20223870283 0.221005079705
Herato02 Herato0203 240462.0 25000.0 0.0949334027602 0.0699588557569 0.0921116504138 0.135633423053
Herato02 Herato0203 290462.0 75000.0 0.101067102776 0.091855682768 0.10069600667 0.111507929814
Herato02 Herato0203 340462.0 125000.0 0.142218418619 0.126628482746 0.141382337831 0.161951349906
Herato02 Herato0203 390462.0 175000.0 0.132826031174 0.115126255695 0.132923651659 0.150600200782
Herato02 Herato0203 440462.0 225000.0 0.187744251616 0.169036946506 0.185706789838 0.211639897929
Herato02 Herato0203 490462.0 275000.0 0.139373737872 0.127016771122 0.139432285026 0.155305029574
Herato02 Herato0203 540462.0 325000.0 0.198887365028 0.176194887525 0.201963065781 0.214887833136
Herato02 Herato0203 583426.5 375000.0 0.118391181469 0.0953657068107 0.120198971026 0.142136960255
Herato02 Herato0204 626392.0 25000.0 0.0477296698 0.04255061084 0.04774489806 0.05366285312
Herato02 Herato0204 676392.0 75000.0 0.0754893312691 0.059825776486 0.0747594666874 0.0972411213852
Herato02 Herato0204 726392.0 125000.0 0.084695177636 0.074312719906 0.084625938404 0.09750693028
Herato02 Herato0204 776392.0 175000.0 0.0944685899712 0.0842357914112 0.0945257756644 0.105220023762
Herato02 Herato0204 826392.0 225000.0 0.096557425756 0.0799805408439 0.0956266548204 0.1191201011
Herato02 Herato0204 876392.0 275000.0 0.0751402504084 0.0706722366281 0.0746040681908 0.0805854406612
Herato02 Herato0204 926392.0 325000.0 0.08543727968 0.0736991555097 0.0852432973361 0.099632043176
Herato02 Herato0204 976392.0 375000.0 0.068696814036 0.062824761006 0.068649224572 0.075250493996
Herato02 Herato0204 1026392.0 425000.0 0.108820779934 0.0985997115016 0.108864797961 0.119231458591
Herato02 Herato0204 1076392.0 475000.0 0.116241890019 0.106630392858 0.115800693647 0.128010478675
Herato02 Herato0204 1126392.0 525000.0 0.127597357922 0.113412812344 0.127508928641 0.14280704669
Herato02 Herato0204 1176392.0 575000.0 0.101990067246 0.0896133646384 0.100999269439 0.119108830892
Herato02 Herato0204 1226392.0 625000.0 0.202689040423 0.188276037271 0.201938660866 0.217471984372
Herato02 Herato0204 1276392.0 675000.0 0.168142326184 0.147295831379 0.168911315946 0.193532786043
Herato02 Herato0204 1326392.0 725000.0 0.148194505689 0.138168905412 0.147589073861 0.160038583279
Herato02 Herato0204 1376392.0 775000.0 0.131035137951 0.119700146732 0.130751397099 0.143229048844
Herato02 Herato0204 1426392.0 825000.0 0.159033596966 0.141091221825 0.15835512663 0.1802209518
Herato02 Herato0204 1476392.0 875000.0 0.11951832903 0.102478751875 0.12026724828 0.133445111834
Herato02 Herato0204 1526392.0 925000.0 0.110794636706 0.101709809074 0.110408924002 0.121200744304
Herato02 Herato0204 1576392.0 975000.0 0.139725438256 0.132953513856 0.139359656206 0.14653113278
Herato02 Herato0204 1626392.0 1025000.0 0.103294945628 0.0973692096756 0.102853216824 0.11198764836
Herato02 Herato0204 1676392.0 1075000.0 0.100965421912 0.0914617964244 0.100462423735 0.111630124596
Herato02 Herato0204 1726392.0 1125000.0 0.0381337621974 0.0345845593252 0.0379434074836 0.0428958773196
Herato02 Herato0204 1776392.0 1175000.0 0.10600216045 0.0939640427923 0.105105298084 0.121023862608
Herato02 Herato0204 1826392.0 1225000.0 0.107611174466 0.0936822022681 0.107602160215 0.122840230576
