chrom scaffold Cposition position mean p0025 p0500 p0975
Herato09 Herato0901 25001.0 25000.0 0.0590479183895 0.0488923583524 0.0587579681929 0.0709115937554
Herato09 Herato0901 75001.0 75000.0 0.0468135251516 0.0244071335905 0.0414922486683 0.109625239772
Herato09 Herato0901 125001.0 125000.0 0.0280202255422 0.018567957189 0.02697003042 0.0432051273478
Herato09 Herato0901 175001.0 175000.0 0.0340066877509 0.0145059845074 0.0298722316116 0.078848788399
Herato09 Herato0901 225001.0 225000.0 0.023234683494 0.0171987878292 0.022523398346 0.033174549933
Herato09 Herato0901 275001.0 275000.0 0.0238746860977 0.0120962049137 0.0239378732495 0.0370439966537
Herato09 Herato0901 325001.0 325000.0 0.0157868452638 0.0132238578452 0.0158454422249 0.0185873365086
Herato09 Herato0901 375001.0 375000.0 0.024057921258 0.0114919515792 0.023170335226 0.043112368974
Herato09 Herato0901 425001.0 425000.0 0.0178835607569 0.0148721444121 0.0177566512878 0.0216516694729
Herato09 Herato0901 475001.0 475000.0 0.0124945490789 0.00980527468095 0.012423664499 0.0160917186165
Herato09 Herato0901 525001.0 525000.0 0.0301169205892 0.024430358089 0.0296346247504 0.038457554102
Herato09 Herato0901 575001.0 575000.0 0.040063449459 0.0139177517227 0.0265370966962 0.153834432427
Herato09 Herato0901 625001.0 625000.0 0.0274813363328 0.0194695402436 0.026878659628 0.0391410403214
Herato09 Herato0901 675001.0 675000.0 0.0136542181944 0.0112139118708 0.0135442765107 0.0166726852804
Herato09 Herato0901 725001.0 725000.0 0.0592039718253 0.0288273882671 0.0544090854976 0.119684498722
Herato09 Herato0901 775001.0 775000.0 0.0297657421344 0.0222419225759 0.0290342622963 0.0422253831032
Herato09 Herato0901 825001.0 825000.0 0.087138773731 0.0336723372599 0.0707868532111 0.224681411028
Herato09 Herato0901 875001.0 875000.0 0.0735896512976 0.031387780185 0.0699302206902 0.138056642358
Herato09 Herato0901 925001.0 925000.0 0.017663407802 0.015286547916 0.017555244268 0.020742896348
Herato09 Herato0901 975001.0 975000.0 0.189314071797 0.0726432563609 0.17295006964 0.385650127617
Herato09 Herato0901 1025001.0 1025000.0 0.316094703181 0.131998632787 0.284714640717 0.685370791709
Herato09 Herato0901 1075001.0 1075000.0 0.0473627857188 0.020045483005 0.0467164664246 0.0817952115626
Herato09 Herato0901 1125001.0 1125000.0 0.032115047864 0.0201620957765 0.0299971151378 0.054189594618
Herato09 Herato0901 1175001.0 1175000.0 0.143431940748 0.0799042089366 0.132824717492 0.251975696073
Herato09 Herato0901 1225001.0 1225000.0 0.04266411762 0.0248185547811 0.0400477427418 0.0736148625842
Herato09 Herato0901 1275001.0 1275000.0 0.0295371748079 0.0122164032198 0.0283241655624 0.0573875852002
Herato09 Herato0901 1325001.0 1325000.0 0.0172955720575 0.0153132459978 0.0173082408525 0.0194163684569
