chrom scaffold Cposition position mean p0025 p0500 p0975
Herato11 Herato1101 25001.0 25000.0 0.06859649012 0.05465820816 0.06947604168 0.08317329426
Herato11 Herato1101 58818.0 75000.0 0.111416644329 0.0636303408756 0.0808327453215 0.212651283033
Herato11 Herato1102 92636.0 25000.0 0.076193167624 0.0527866367162 0.073459752884 0.10993379347
Herato11 Herato1102 142636.0 75000.0 0.0735275348564 0.055604084476 0.0737378925176 0.094519078898
Herato11 Herato1102 192636.0 125000.0 0.0696902259348 0.059774914414 0.0691646175418 0.08148371703
Herato11 Herato1102 242636.0 175000.0 0.0519728470136 0.0454843098838 0.0517319157734 0.0601212936362
Herato11 Herato1102 292636.0 225000.0 0.108741786994 0.095485538618 0.107442191616 0.12716438226
Herato11 Herato1102 342636.0 275000.0 0.097093003254 0.0900197084892 0.097070562176 0.102970200048
Herato11 Herato1102 392636.0 325000.0 0.093838017246 0.087050636638 0.093123193188 0.103689567342
Herato11 Herato1102 442636.0 375000.0 0.07479613138 0.07114237598 0.07532736332 0.07770619312
Herato11 Herato1102 492636.0 425000.0 0.0749540930078 0.0695847853067 0.0746519901116 0.082146445122
Herato11 Herato1102 542636.0 475000.0 0.0421208869236 0.0397122597688 0.042074325114 0.0450534642864
Herato11 Herato1102 592636.0 525000.0 0.08415421134 0.07859309494 0.08409087968 0.08997717218
Herato11 Herato1102 642636.0 575000.0 0.061744884808 0.053592340657 0.06100230283 0.072058964808
Herato11 Herato1102 692636.0 625000.0 0.10529555638 0.09394929104 0.10476268304 0.11706408288
Herato11 Herato1102 742636.0 675000.0 0.117468548036 0.107592572442 0.117290449204 0.12912453621
Herato11 Herato1102 792636.0 725000.0 0.0768091474 0.070441529684 0.076505154668 0.0851894788
Herato11 Herato1102 842636.0 775000.0 0.039871255722 0.0357695289716 0.0396462239148 0.044828088868
Herato11 Herato1102 892636.0 825000.0 0.056902124784 0.048845168146 0.05657857254 0.07126190386
Herato11 Herato1102 942636.0 875000.0 0.045703252631 0.0404004236783 0.0443824956822 0.0535179850284
Herato11 Herato1102 992636.0 925000.0 0.073759214788 0.0671823071052 0.073719939378 0.081029566878
Herato11 Herato1102 1042636.0 975000.0 0.0386229506832 0.0331952929319 0.0383683217959 0.0446627143788
Herato11 Herato1102 1092636.0 1025000.0 0.0573917697373 0.0458448784211 0.0564819304807 0.073426522076
Herato11 Herato1102 1142636.0 1075000.0 0.181426077448 0.169500944942 0.17768269163 0.197957364956
Herato11 Herato1102 1192636.0 1125000.0 0.0463442269715 0.0425135294386 0.0461431033942 0.0518846120354
Herato11 Herato1102 1226704.0 1175000.0 0.144993756567 0.10796521668 0.14264095724 0.193775980453
Herato11 Herato1103 1260773.0 25000.0 0.1248366769 0.105684876146 0.123685422494 0.147048459036
Herato11 Herato1103 1310773.0 75000.0 0.192649613789 0.171637112998 0.191512313987 0.22406761347
Herato11 Herato1103 1342560.5 125000.0 0.197613614055 0.190174486895 0.196661998453 0.212236238674
Herato11 Herato1104 1365110.0 25000.0 0.287217866646 0.278992417715 0.285899058791 0.307275374183
Herato11 Herato1105 1405872.0 25000.0 0.151215463438 0.13212650507 0.151240018412 0.17613422366
Herato11 Herato1105 1440229.5 75000.0 0.152803958846 0.130312576703 0.152833206391 0.177931034309
Herato11 Herato1106 1474588.0 25000.0 0.126364655136 0.11163965098 0.126057710524 0.143753482633
Herato11 Herato1106 1524588.0 75000.0 0.126747642716 0.111869617269 0.126033048778 0.142540772541
Herato11 Herato1106 1574588.0 125000.0 0.164308446998 0.14515536788 0.160294229814 0.201783177528
Herato11 Herato1106 1624588.0 175000.0 0.100828651144 0.077256347179 0.0983880758066 0.137306317846
Herato11 Herato1106 1662012.5 225000.0 0.118226315952 0.109086758964 0.118430698343 0.128831253049
Herato11 Herato1107 1699438.0 25000.0 0.06562698306 0.061358734094 0.067025400034 0.0685633581
Herato11 Herato1107 1730167.5 75000.0 0.226597420368 0.169870693952 0.222874012217 0.301479587224
Herato11 Herato1108 1760898.0 25000.0 0.08048367312 0.07652335626 0.08092262184 0.08429197616
Herato11 Herato1108 1810898.0 75000.0 0.105278490176 0.0861441035298 0.100729239201 0.130396640168
Herato11 Herato1108 1860898.0 125000.0 0.0782765166 0.05866355764 0.0720864991 0.10641885038
Herato11 Herato1108 1910898.0 175000.0 0.0954094468988 0.085958346706 0.0954222829 0.103889614573
Herato11 Herato1108 1960898.0 225000.0 0.09193979366 0.0835790262 0.0919787415 0.10064097612
Herato11 Herato1108 2010898.0 275000.0 0.105241416708 0.09870769356 0.104767762038 0.114056530284
Herato11 Herato1108 2060898.0 325000.0 0.107723305789 0.0955362521608 0.107066423288 0.122446534703
Herato11 Herato1108 2110898.0 375000.0 0.11405892322 0.101910970058 0.11400623779 0.127526881384
Herato11 Herato1108 2160898.0 425000.0 0.146292157021 0.135846487052 0.145177376383 0.159400813875
Herato11 Herato1108 2210898.0 475000.0 0.09797572492 0.0910408915 0.0979890895 0.10513133274
Herato11 Herato1108 2260898.0 525000.0 0.14366772768 0.131335682004 0.14308684252 0.15741942472
Herato11 Herato1108 2310898.0 575000.0 0.1596730907 0.148981855806 0.159558535758 0.171734524308
Herato11 Herato1108 2360898.0 625000.0 0.132614285766 0.114316417965 0.130321271643 0.157921663243
Herato11 Herato1108 2410898.0 675000.0 0.080583510744 0.07458162251 0.080524710246 0.086924753776
Herato11 Herato1108 2460898.0 725000.0 0.105819498353 0.0929010800381 0.105404809229 0.121784646221
