scaffold position Cposition windSize exonL exonP geneN
Herato0101 25000.0 25000.0 50000 3818 0.07636 4
Herato0101 75000.0 75000.0 50000 5570 0.1114 4
Herato0101 125000.0 125000.0 50000 282 0.00564 1
Herato0101 175000.0 175000.0 50000 0 0.0 1
Herato0101 225000.0 225000.0 50000 0 0 0
Herato0101 275000.0 275000.0 50000 0 0 0
Herato0101 325000.0 325000.0 50000 0 0.0 1
Herato0101 375000.0 375000.0 50000 0 0 0
Herato0101 425000.0 425000.0 50000 610 0.0122 2
Herato0101 475000.0 475000.0 50000 154 0.00308 0
Herato0101 525000.0 525000.0 50000 316 0.00632 0
Herato0101 575000.0 575000.0 50000 5471 0.10942 1
Herato0101 625000.0 625000.0 50000 1871 0.03742 1
Herato0101 675000.0 675000.0 50000 6352 0.12704 1
Herato0101 725000.0 725000.0 50000 2230 0.0446 2
Herato0101 775000.0 775000.0 50000 96 0.00192 0
Herato0101 825000.0 825000.0 50000 789 0.01578 0
Herato0101 875000.0 875000.0 50000 0 0 0
Herato0101 925000.0 925000.0 50000 188 0.00376 1
Herato0101 975000.0 975000.0 50000 179 0.00358 0
Herato0101 1025000.0 1025000.0 50000 1144 0.02288 1
Herato0101 1075000.0 1075000.0 50000 1675 0.0335 0
Herato0101 1125000.0 1125000.0 50000 1620 0.0324 0
Herato0101 1175000.0 1175000.0 50000 0 0 0
Herato0101 1225000.0 1225000.0 50000 1767 0.03534 4
Herato0101 1275000.0 1275000.0 50000 1375 0.0275 2
Herato0101 1325000.0 1325000.0 50000 4139 0.08278 4
Herato0101 1375000.0 1375000.0 50000 3691 0.07382 3
Herato0101 1425000.0 1425000.0 50000 3141 0.06282 1
Herato0101 1475000.0 1475000.0 50000 7002 0.14004 2
Herato0101 1525000.0 1525000.0 50000 7675 0.1535 4
Herato0101 1575000.0 1575000.0 50000 1531 0.03062 0
Herato0101 1625000.0 1625000.0 50000 4649 0.09298 1
Herato0101 1675000.0 1675000.0 50000 3323 0.06646 3
Herato0101 1725000.0 1725000.0 50000 5341 0.10682 0
Herato0101 1775000.0 1775000.0 50000 520 0.0104 0
Herato0101 1825000.0 1825000.0 50000 2631 0.05262 1
Herato0101 1875000.0 1875000.0 50000 6777 0.13554 2
Herato0101 1925000.0 1925000.0 50000 45 0.0009 1
Herato0101 1975000.0 1975000.0 50000 5101 0.10202 3
Herato0101 2025000.0 2025000.0 50000 1138 0.02276 0
Herato0101 2075000.0 2075000.0 50000 2241 0.04482 1
Herato0101 2125000.0 2125000.0 50000 2592 0.05184 1
Herato0101 2175000.0 2175000.0 50000 18319 0.36638 7
Herato0101 2225000.0 2225000.0 50000 7943 0.15886 4
Herato0101 2275000.0 2275000.0 50000 2258 0.04516 2
Herato0101 2325000.0 2325000.0 50000 1844 0.03688 3
Herato0101 2375000.0 2375000.0 50000 790 0.0158 1
Herato0101 2425000.0 2425000.0 50000 1951 0.03902 1
Herato0101 2475000.0 2475000.0 50000 0 0 0
Herato0101 2525000.0 2525000.0 50000 0 0 0
Herato0101 2575000.0 2575000.0 50000 0 0 0
Herato0101 2625000.0 2625000.0 50000 0 0 0
Herato0101 2675000.0 2675000.0 50000 6387 0.12774 3
Herato0101 2725000.0 2725000.0 50000 19064 0.38128 4
Herato0101 2775000.0 2775000.0 50000 7302 0.14604 7
Herato0101 2825000.0 2825000.0 50000 7176 0.14352 7
Herato0101 2875000.0 2875000.0 50000 4124 0.08248 2
Herato0101 2925000.0 2925000.0 50000 1587 0.03174 0
Herato0101 2975000.0 2975000.0 50000 12333 0.24666 6
Herato0101 3025000.0 3025000.0 50000 4614 0.09228 2
Herato0101 3075000.0 3075000.0 50000 6912 0.13824 3
Herato0101 3125000.0 3125000.0 50000 93 0.00186 1
Herato0101 3175000.0 3175000.0 50000 485 0.0097 0
Herato0101 3225000.0 3225000.0 50000 616 0.01232 1
Herato0101 3275000.0 3275000.0 50000 2232 0.04464 2
Herato0101 3325000.0 3325000.0 50000 4256 0.08512 6
Herato0101 3375000.0 3375000.0 50000 727 0.01454 1
Herato0101 3425000.0 3425000.0 50000 773 0.01546 0
Herato0101 3475000.0 3475000.0 50000 1906 0.03812 0
Herato0101 3525000.0 3525000.0 50000 0 0 0
Herato0101 3575000.0 3575000.0 50000 0 0 0
Herato0101 3625000.0 3625000.0 50000 0 0 0
Herato0101 3675000.0 3675000.0 50000 447 0.00894 2
Herato0101 3725000.0 3725000.0 50000 1393 0.02786 0
Herato0101 3775000.0 3775000.0 50000 1080 0.0216 0
Herato0101 3825000.0 3825000.0 50000 0 0 0
Herato0101 3875000.0 3875000.0 50000 765 0.0153 1
Herato0101 3925000.0 3925000.0 50000 0 0 0
Herato0101 3975000.0 3975000.0 50000 2561 0.05122 1
Herato0101 4025000.0 4025000.0 50000 132 0.00264 0
Herato0101 4075000.0 4075000.0 50000 1669 0.03338 2
Herato0101 4125000.0 4125000.0 50000 0 0 0
Herato0101 4175000.0 4175000.0 50000 5485 0.1097 2
Herato0101 4225000.0 4225000.0 50000 6523 0.13046 6
Herato0101 4275000.0 4275000.0 50000 4723 0.09446 0
Herato0101 4325000.0 4325000.0 50000 12871 0.25742 3
Herato0101 4375000.0 4375000.0 50000 8783 0.17566 3
Herato0101 4425000.0 4425000.0 50000 3626 0.07252 1
Herato0101 4475000.0 4475000.0 50000 0 0 0
Herato0101 4525000.0 4525000.0 50000 135 0.0027 1
Herato0101 4575000.0 4575000.0 50000 942 0.01884 0
Herato0101 4625000.0 4625000.0 50000 2007 0.04014 0
Herato0101 4675000.0 4675000.0 50000 0 0 0
Herato0101 4725000.0 4725000.0 50000 0 0 0
Herato0101 4775000.0 4775000.0 50000 0 0 0
Herato0101 4825000.0 4825000.0 50000 0 0.0 1
Herato0101 4875000.0 4875000.0 50000 1136 0.02272 1
Herato0101 4925000.0 4925000.0 50000 1673 0.03346 1
Herato0101 4975000.0 4975000.0 50000 0 0 0
Herato0101 5025000.0 5025000.0 50000 0 0 0
Herato0101 5075000.0 5075000.0 50000 520 0.0104 2
Herato0101 5125000.0 5125000.0 50000 4055 0.0811 1
Herato0101 5175000.0 5175000.0 50000 0 0 0
Herato0101 5225000.0 5225000.0 50000 0 0 0
Herato0101 5275000.0 5275000.0 50000 0 0 0
Herato0101 5325000.0 5325000.0 50000 0 0 0
Herato0101 5375000.0 5375000.0 50000 460 0.0092 1
Herato0101 5425000.0 5425000.0 50000 2115 0.0423 1
Herato0101 5475000.0 5475000.0 50000 9258 0.18516 0
Herato0101 5525000.0 5525000.0 50000 4112 0.08224 5
Herato0101 5575000.0 5575000.0 50000 5175 0.1035 3
Herato0101 5625000.0 5625000.0 50000 11241 0.22482 4
Herato0101 5675000.0 5675000.0 50000 4348 0.08696 1
Herato0101 5725000.0 5725000.0 50000 4486 0.08972 2
Herato0101 5775000.0 5775000.0 50000 715 0.0143 0
Herato0101 5825000.0 5825000.0 50000 1276 0.02552 3
Herato0101 5875000.0 5875000.0 50000 0 0.0 2
Herato0101 5925000.0 5925000.0 50000 5864 0.11728 5
Herato0101 5975000.0 5975000.0 50000 744 0.01488 1
Herato0101 6025000.0 6025000.0 50000 6972 0.13944 3
Herato0101 6075000.0 6075000.0 50000 3456 0.06912 2
Herato0101 6125000.0 6125000.0 50000 2430 0.0486 2
Herato0101 6175000.0 6175000.0 50000 0 0 0
Herato0101 6225000.0 6225000.0 50000 0 0 0
Herato0101 6275000.0 6275000.0 50000 7463 0.14926 3
Herato0101 6325000.0 6325000.0 50000 1138 0.02276 3
Herato0101 6375000.0 6375000.0 50000 3281 0.06562 7
Herato0101 6425000.0 6425000.0 50000 5739 0.11478 5
Herato0101 6475000.0 6475000.0 50000 0 0 0
Herato0101 6525000.0 6525000.0 50000 625 0.0125 1
Herato0101 6575000.0 6575000.0 50000 50 0.001 0
Herato0101 6625000.0 6625000.0 50000 0 0 0
Herato0101 6675000.0 6675000.0 50000 0 0 0
Herato0101 6725000.0 6725000.0 50000 436 0.00872 1
Herato0101 6775000.0 6775000.0 50000 9228 0.18456 2
Herato0101 6825000.0 6825000.0 50000 5848 0.11696 5
Herato0101 6875000.0 6875000.0 50000 7431 0.14862 5
Herato0101 6925000.0 6925000.0 50000 1893 0.03786 1
Herato0101 6975000.0 6975000.0 50000 880 0.0176 1
Herato0101 7025000.0 7025000.0 50000 824 0.01648 2
Herato0101 7075000.0 7075000.0 50000 5429 0.10858 3
Herato0101 7125000.0 7125000.0 50000 4405 0.0881 1
Herato0101 7175000.0 7175000.0 50000 4052 0.08104 1
Herato0101 7225000.0 7225000.0 50000 5505 0.1101 2
Herato0101 7275000.0 7275000.0 50000 10500 0.21 5
Herato0101 7325000.0 7325000.0 50000 3202 0.06404 1
Herato0101 7375000.0 7375000.0 50000 526 0.01052 0
Herato0101 7425000.0 7425000.0 50000 3607 0.07214 0
Herato0101 7475000.0 7475000.0 50000 3066 0.06132 1
Herato0101 7525000.0 7525000.0 50000 173 0.00346 2
Herato0101 7575000.0 7575000.0 50000 0 0 0
Herato0101 7625000.0 7625000.0 50000 839 0.01678 1
Herato0101 7675000.0 7675000.0 50000 1886 0.03772 0
Herato0101 7725000.0 7725000.0 50000 0 0 0
Herato0101 7775000.0 7775000.0 50000 3420 0.0684 2
Herato0101 7825000.0 7825000.0 50000 6967 0.13934 2
Herato0101 7875000.0 7875000.0 50000 6253 0.12506 4
Herato0101 7925000.0 7925000.0 50000 351 0.00702 0
Herato0101 7975000.0 7975000.0 50000 866 0.01732 0
Herato0101 8025000.0 8025000.0 50000 628 0.01256 1
Herato0101 8075000.0 8075000.0 50000 684 0.01368 0
Herato0101 8125000.0 8125000.0 50000 0 0 0
Herato0101 8175000.0 8175000.0 50000 141 0.00282 0
Herato0101 8225000.0 8225000.0 50000 0 0 0
Herato0101 8275000.0 8275000.0 50000 2314 0.04628 4
Herato0101 8325000.0 8325000.0 50000 5025 0.1005 6
Herato0101 8375000.0 8375000.0 50000 505 0.0101 0
Herato0101 8425000.0 8425000.0 50000 0 0 0
Herato0101 8475000.0 8475000.0 50000 0 0 0
Herato0101 8525000.0 8525000.0 50000 9993 0.19986 5
Herato0101 8575000.0 8575000.0 50000 1294 0.02588 1
Herato0101 8625000.0 8625000.0 50000 2928 0.05856 1
Herato0101 8675000.0 8675000.0 50000 669 0.01338 2
Herato0101 8725000.0 8725000.0 50000 8010 0.1602 1
Herato0101 8775000.0 8775000.0 50000 0 0 0
Herato0101 8825000.0 8825000.0 50000 831 0.01662 1
Herato0101 8875000.0 8875000.0 50000 1395 0.0279 2
Herato0101 8925000.0 8925000.0 50000 12060 0.2412 3
Herato0101 8975000.0 8975000.0 50000 12594 0.25188 1
Herato0101 9025000.0 9025000.0 50000 3654 0.07308 5
Herato0101 9075000.0 9075000.0 50000 6711 0.13422 5
Herato0101 9125000.0 9125000.0 50000 1787 0.03574 1
Herato0101 9175000.0 9175000.0 50000 0 0.0 1
Herato0101 9225000.0 9225000.0 50000 0 0.0 1
Herato0101 9275000.0 9275000.0 50000 0 0 0
Herato0101 9325000.0 9325000.0 50000 4277 0.08554 2
Herato0101 9375000.0 9375000.0 50000 612 0.01224 1
Herato0101 9425000.0 9425000.0 50000 822 0.01644 0
Herato0101 9475000.0 9475000.0 50000 0 0 0
Herato0101 9525000.0 9525000.0 50000 0 0 0
Herato0101 9575000.0 9575000.0 50000 389 0.00778 1
Herato0101 9625000.0 9625000.0 50000 0 0 0
Herato0101 9675000.0 9675000.0 50000 0 0 0
Herato0101 9725000.0 9725000.0 50000 499 0.00998 1
Herato0101 9775000.0 9775000.0 50000 0 0.0 1
Herato0101 9825000.0 9825000.0 50000 0 0 0
Herato0101 9875000.0 9875000.0 50000 0 0 0
Herato0101 9925000.0 9925000.0 50000 67 0.00134 1
Herato0101 9975000.0 9975000.0 50000 605 0.0121 1
Herato0101 10025000.0 10025000.0 50000 62 0.00124 0
Herato0101 10075000.0 10075000.0 50000 6907 0.13814 2
Herato0101 10125000.0 10125000.0 50000 4490 0.0898 2
Herato0101 10175000.0 10175000.0 50000 10391 0.20782 3
Herato0101 10225000.0 10225000.0 50000 297 0.00594 1
Herato0101 10275000.0 10275000.0 50000 1035 0.0207 1
Herato0101 10325000.0 10325000.0 50000 1980 0.0396 1
